k	x	y	x2	y2	col
2762	23.6568	13.8136	23.20909912	13.88080654	2762
2763	23.2091	13.8808	23.18497493	13.42871251	2763
2764	23.1850	13.4287	23.63521418	13.38137566	2764
2765	23.6352	13.3814	23.77041824	13.81341871	2765
2766	23.7704	13.8134	23.40971416	14.08694949	2766
2767	23.4097	14.0869	22.99817329	13.89841349	2767
2768	22.9982	13.8984	22.90399554	13.4556636	2768
2769	22.9040	13.4557	23.15029546	13.07590254	2769
2770	23.1503	13.0759	23.57437389	12.91771021	2770
2771	23.5744	12.9177	24.02286851	12.97857991	2771
2772	24.0229	12.9786	24.42421326	13.18776919	2772
2773	24.4242	13.1878	24.77617382	13.47228062	2773
2774	24.7762	13.4723	25.11249572	13.77509378	2774
2775	25.1125	13.7751	25.47542771	14.04541552	2775
2776	25.4754	14.0454	25.89198039	14.22222779	2776
2777	25.8920	14.2222	26.34442485	14.22984273	2777
2778	26.3444	14.2298	26.7385641	14.00757377	2778
2779	26.7386	14.0076	26.90698268	13.58760986	2779
2780	26.9070	13.5876	26.71424704	13.17825335	2780
2781	26.7142	13.1783	26.26786869	13.10441955	2781
2782	26.2679	13.1044	26.00404313	13.47196059	2782
2783	26.0040	13.4720	26.27231305	13.83625016	2783
2784	26.2723	13.8363	26.67639244	13.6328275	2784
2785	26.6764	13.6328	26.48248018	13.22411699	2785
2786	26.4825	13.2241	26.10029892	13.4661274	2786
2787	26.1003	13.4661	26.43433686	13.77114465	2787
2788	26.4343	13.7711	26.58050961	13.34308423	2788
2789	26.5805	13.3431	26.13974546	13.44464451	2789
2790	26.1397	13.4446	26.5013571	13.71632425	2790
2791	26.5014	13.7163	26.4114908	13.27306106	2791
2792	26.4115	13.2731	26.24283519	13.69270239	2792
2793	26.2428	13.6927	26.57354505	13.38422239	2793
2794	26.5735	13.3842	26.16765535	13.58364112	2794
2795	26.1677	13.5836	26.59877383	13.44712556	2795
2796	26.5988	13.4471	26.16683813	13.58097835	2796
2797	26.1668	13.5810	26.57631901	13.38915599	2797
2798	26.5763	13.3892	26.23617482	13.68707835	2798
2799	26.2362	13.6871	26.42330727	13.27546854	2799
2800	26.4233	13.2755	26.48707448	13.72308482	2800
2801	26.4871	13.7231	26.14649664	13.42573196	2801
2802	26.1465	13.4257	26.59436161	13.36397139	2802
2803	26.5944	13.3640	26.40349895	13.77379363	2803
2804	26.4035	13.7738	26.11051061	13.42951745	2804
2805	26.1105	13.4295	26.52361525	13.24594665	2805
2806	26.5236	13.2459	26.64595508	13.68111568	2806
2807	26.6460	13.6811	26.21063321	13.80285076	2807
2808	26.2106	13.8029	26.02883503	13.38901573	2808
2809	26.0288	13.3890	26.37520975	13.09863663	2809
2810	26.3752	13.0986	26.78279067	13.29397921	2810
2811	26.7828	13.2940	26.83760072	13.74260184	2811
2812	26.8376	13.7426	26.53335996	14.07680153	2812
2813	26.5334	14.0768	26.08438389	14.1283558	2813
2814	26.0844	14.1284	25.67977477	13.92707414	2814
2815	25.6798	13.9271	25.39733851	13.57431629	2815
2816	25.3973	13.5743	25.22850451	13.15516367	2816
2817	25.2285	13.1552	25.12443148	12.71544996	2817
2818	25.1244	12.7154	25.02427855	12.27484328	2818
2819	25.0243	12.2748	24.86675129	11.85136302	2819
2820	24.8668	11.8514	24.60051374	11.48632403	2820
2821	24.6005	11.4863	24.20963324	11.25975425	2821
2822	24.2096	11.2598	23.75807157	11.27386195	2822
2823	23.7581	11.2739	23.4210924	11.57475653	2823
2824	23.4211	11.5748	23.41962831	12.02650415	2824
2825	23.4196	12.0265	23.79386799	12.27950271	2825
2826	23.7939	12.2795	24.18453974	12.05273244	2826
2827	24.1845	12.0527	24.08762575	11.61154946	2827
2828	24.0876	11.6115	23.63644166	11.63283876	2828
2829	23.6364	11.6328	23.64483294	12.08443092	2829
2830	23.6448	12.0844	24.09265126	12.02569223	2830
2831	24.0927	12.0257	23.92404855	11.60670512	2831
2832	23.9240	11.6067	23.60138432	11.92269636	2832
2833	23.6014	11.9227	24.03741977	12.04026062	2833
2834	24.0374	12.0403	23.85776511	11.62594422	2834
2835	23.8578	11.6259	23.70324959	12.05026067	2835
2836	23.7032	12.0503	24.07516587	11.79416811	2836
2837	24.0752	11.7942	23.62710065	11.85009937	2837
2838	23.6271	11.8501	24.06822942	11.94644141	2838
2839	24.0682	11.9464	23.65499112	11.76451798	2839
